n,time,flops
100000000,0.0029344081878662108,32002168469.112247
200000000,0.005889606475830078,32722245057.99153
300000000,0.008872723579406739,32331238894.073177
400000000,0.01190197467803955,32442585524.271816
500000000,0.015717363357543944,28800556171.43494
600000000,0.018197107315063476,29442641232.198208
700000000,0.021129870414733888,29823259725.34787
800000000,0.02376987934112549,30704495284.969013
900000000,0.02673811912536621,30145102547.89279
1000000000,0.02971522808074951,31474752911.596325
