n,time,flops
4000,0.015273332595825195,7828724317307.87
6000,0.050093436241149904,8629317220493.813
8000,0.10751152038574219,9446577171642.393
10000,0.20762181282043457,9629456813597.754
12000,0.3643317937850952,9481665383323.883
14000,0.5721493005752564,9586851137716.639
16000,0.8665862560272217,9454646452005.229
18000,1.2281893968582154,9497829251258.686
20000,1.7137330293655395,9337896195267.516
22000,2.237634205818176,9516115633640.629
24000,2.9634848117828367,9332113220954.07
26000,3.736651372909546,9408635965079.56
28000,4.756637549400329,9247370491441.072
30000,5.741213035583496,9406651722656.918
