n,time,flops
100000000,0.0016013622283935548,54356760345.12993
200000000,0.003108525276184082,59229357114.383736
300000000,0.00462028980255127,60118043090.56035
400000000,0.006102752685546875,61172057517.66205
500000000,0.007606673240661621,61538729838.83649
600000000,0.009084987640380859,60352090994.86658
700000000,0.010556840896606445,62031017553.01509
800000000,0.01217215061187744,61605380680.68488
900000000,0.014311814308166504,55030765489.12695
1000000000,0.015023231506347656,60863973534.15488
