n,time,flops
100000000,0.0013481378555297852,64954571271.0099
200000000,0.001657557487487793,112464866261.51207
300000000,0.0020472049713134766,138571268155.64883
400000000,0.0024038076400756834,156263466700.48526
500000000,0.0027885198593139648,169361036818.963
600000000,0.0031439542770385744,179321942481.28287
700000000,0.003369426727294922,194694445194.98874
800000000,0.003732919692993164,202434697879.18674
900000000,0.0041365385055541996,203719869973.44244
1000000000,0.00451970100402832,209416987468.4821
1100000000,0.005016255378723145,208490095266.85953
1200000000,0.005355930328369141,212344901238.4618
1300000000,0.005493807792663574,222109849872.8795
1400000000,0.005844211578369141,225899212647.44897
1500000000,0.006255197525024414,226439056444.68683
1600000000,0.006581449508666992,229677134404.19818
1700000000,0.006989765167236328,228896951635.52567
1800000000,0.0073392391204833984,232031381281.0123
1900000000,0.007663178443908692,235298421829.7088
2000000000,0.008097577095031738,233015687164.65247
2100000000,0.008513593673706054,231005199761.94324
2200000000,0.00891876220703125,223864889904.3116
2300000000,0.009346508979797363,234165007082.91632
2400000000,0.009639644622802734,235006489967.2128
2500000000,0.010073399543762207,233048109905.997
2600000000,0.010392999649047852,237215719911.72488
28320313,247382503430.41956
2800000000,0.010632705688476563,247710244870.40356
2900000000,0.011162018775939942,246459716401.59616
3000000000,0.011308598518371581,250169388889.8045
3100000000,0.01183168888092041,247804191733.2727
3200000000,0.012216949462890625,248595153085.8111
3300000000,0.012332677841186523,252029921768.89062
3400000000,0.012897753715515136,249871092019.93958
3500000000,0.012980222702026367,253517597649.23944
3600000000,0.013406658172607422,253959076573.3527
3700000000,0.013809657096862793,252628626780.78836
3800000000,0.014194774627685546,252970643074.7935
3900000000,0.014428234100341797,253978999772.14413
