n,time,flops
100000000,0.0012763261795043946,70535901136.51126
200000000,0.0019921302795410157,95589154736.40155
300000000,0.002647113800048828,105861887789.14035
400000000,0.0033820390701293944,111842158422.80302
500000000,0.004169297218322754,115985009931.83441
600000000,0.004822850227355957,115853267697.83275
700000000,0.005463647842407227,122002855634.25482
800000000,0.006191062927246094,121243939283.35648
900000000,0.006994438171386719,122666193861.7826
1000000000,0.007628393173217773,126248363513.15868
1100000000,0.00831897258758545,121085553319.90834
1200000000,0.009084033966064452,123221168513.17412
1300000000,0.00984652042388916,126016569738.63144
1400000000,0.010383868217468261,128042236653.25288
1500000000,0.011121010780334473,128571680697.64803
1600000000,0.011883020401000977,128410480529.57812
1700000000,0.012488961219787598,129447808431.74014
1800000000,0.01327362060546875,129405196899.74054
1900000000,0.014070343971252442,129377777609.999
