n,time,flops
4000,0.01478903293609619,8099598854447.197
6000,0.016244721412658692,26617633055464.812
8000,0.02014503479003906,50610174125300.78
10000,0.027698373794555663,72121905676261.5
12000,0.03667628765106201,94155446516874.1
14000,0.0476764440536499,115060714752926.3
16000,0.05874793529510498,139375897737352.77
18000,0.07661867141723633,150913587009690.0
20000,0.08532400131225586,185482189591204.3
22000,0.11388368606567383,187002344576929.5
24000,0.12761564254760743,214987494049506.94
26000,0.17457854747772217,201026385224331.03
28000,0.18760466575622559,233017545984596.8
30000,0.24743640422821045,218051526086870.34
32000,0.255092716217041,255803121475913.5
34000,0.34170732498168943,228765485039023.66
36000,0.3580734968185425,260089950769008.0
