n,time,flops
4000,0.031434369087219236,3720445604189.666
6000,0.07110645771026611,5939607738444.653
8000,0.12839937210083008,7798588424259.126
10000,0.21666696071624755,9149692610196.877
12000,0.34900898933410646,9791006920910.168
14000,0.5360531330108642,10181078494511.898
16000,0.7871091842651368,10347308965983.416
18000,1.1115176200866699,10449278982265.205
20000,1.5062498331069947,10584498394566.998
22000,1.941508412361145,10935439571035.45
24000,2.5161088943481444,10957588751918.459
26000,3.167635464668274,10580312861812.387
28000,3.9360769033432006,11134791984407.102
30000,4.82568097114563,11174121553582.016
32000,5.748024916648864,11057955049511.842
34000,6.887529826164245,11397280590279.504
36000,8.174913692474366,11401685159539.56
