n,time,flops
100000000,0.0019572973251342773,45990936928.34596
200000000,0.0033959150314331055,55446866395.31021
300000000,0.004878687858581543,58271844090.46116
400000000,0.006378054618835449,58952752192.60252
500000000,0.007872462272644043,60540847409.94667
600000000,0.00927746295928955,60964950368.653915
700000000,0.010840129852294923,61573075019.095184
800000000,0.012360644340515137,61863140326.640945
900000000,0.013776111602783202,58495364373.45939
1000000000,0.01529550552368164,61124600017.53763
